group,name , code
,Fshesa,39224100-9
,Furça,39224200-0
,Furça për piktorë,39224210-3
,"Fshesa, furça dhe artikujt të tjerë për pastrimin e shtëpisë",39224300-1
,Furça për wc,39224310-4
,Sfungjerë,39224320-7
,Kova,39224330-0
,Kosha mbeturinash,39224340-3
,Lopatë mbledhëse pluhuri,39224350-6
,"Çakmakë, artikuj prej materialesh të djegshme, piroteknikë, shkrepëse dhe
furnizues gazi të lëngshëm",39225000-5
,Çakmakë,39225100-6
,Lidhje piroforike,39225200-7
,Shkrepëse,39225300-8
,Furnizues gazi për çakmakë,39225400-9
,Piroteknikë,39225500-0
,Qirinj,39225600-1
,"Shishe, kavanoza dhe legenë të vegjël",39225700-2
,Shishe,39225710-5
,Kavanozë,39225720-8
,Legenë të vegjël,39225730-1
,"Damixhane, mbajtëse shishesh, faqore dhe bobina",39226000-2
,Mbajtëse shishesh,39226100-3
,Damixhane dhe faqore,39226200-4
,Damixhane,39226210-7
,Faqore,39226220-0
,Bobina,39226300-5
,Gjilpëra për thurje dhe qepje dhe gishtëza,39227000-9
,Gjilpëra për thurje dhe qepje,39227100-0
,Gjilpëra për qepje,39227110-3
,Gjilpëra për thurje,39227120-6
,Gishtëza,39227200-1
,Produkt me përdorim të veçantë,39230000-3
,Kuti plehrash,39234000-1
,Argumentet,39235000-8
,Kabina spray,39236000-5
,Polet e dëborës,39237000-2
,Takëm,39240000-6
,Thika dhe gërshërë,39241000-3
,Thika,39241100-4
,Thika tavoline,39241110-7
,Thika gatimi,39241120-0
,Thika për përdorim të zakonshëm,39241130-3
,Gërshërë,39241200-5
,Arti i ndërtimit të sahatëve,39254000-7
,Orë,39254100-8
,Orë alarmi,39254110-1
,Orë muri,39254120-4
,Xham për ora,39254130-7
,Tabaka për shpëndarje dhe pajisje për tavolina pune,39260000-2
,Tabaka për shpëndarje,39261000-9
,Pajisje për tavolina pune,39263000-3
,Komplete për tavolinë pune,39263100-4
,Pajisje për fletët e lidhura lirshëm,39264000-0
,Grepa dhe sy,39265000-7
,Artikuj fetare,39270000-5
,Mobilime të ndryshme,39290000-1
,Furnizime për lavanderi,39291000-8
,Dërrasa me shkrime ose vizatime,39292000-5
,Dërrasa të zeza,39292100-6
,Fshirëse për dërrasa të zeza,39292110-9
,Tabela shkrimi,39292200-7
,Intrumente vizatimi,39292300-8
,Instrumente shkrimi,39292400-9
,Vizore,39292500-0
,Produkte artificiale,39293000-2
,Fruta artificiale,39293100-3
,Lule artificiale,39293200-4
,Bar artificial,39293300-5
,Lëndinë artificiale,39293400-6
,Imitacionet bizhuterish,39293500-7
,Aparate dhe pajisje të dizajnuara për qëllime demonstrimi,39294000-9
,Produkte informacioni dhe promocioni,39294100-0
,Çadra dhe syze dielli; bastunet dhe shkopinj sediljesh,39295000-6
,Syze dielli,39295100-7
,Çadra,39295200-8
,Shkopinj sediljesh,39295300-9
,Bastunë,39295400-0
,"Pjesë, stoli dhe aksesorë për çadra, syze dielli, bastunë dhe artikuj të
ngjashëm",39295500-1
,Materiale për funerale,39296000-3
,Arkivolë,39296100-4
,Pjesë për barake,39297000-0
,"Statuja, stolitë; fotografi ose foto korniza, dhe pasqyra",39298000-7
,Korniza fotografish,39298100-8
,Korniza fotosh,39298200-9
,Vazo lulesh,39298300-0
,Statuja,39298400-1
,Stoli,39298500-2
,Globa,39298600-3
,Trofe,39298700-4
,Akuariume,39298800-5
,Sende të ndryshme dekorativë,39298900-6
,Pema e krishtlindjeve,39298910-9
,Qelqe,39299000-4
,Ampula qelqi,39299100-5
,Xham i pathërmueshëm,39299200-6
,Pasqyra qelqi,39299300-7
,Pajisje të ndryshme,39300000-5
,Pajisje për katering,39310000-8
,Pajisje për katering të lehtë,39311000-5
,Pajisje për pregatitje ushqimi,39312000-2
,Prerës mishi,39312100-3
,Pajisje kantine,39312200-4
,Pajisje hoteli,39313000-9
,Pajisje kuzhine industriale,39314000-6
,Pajisje restoranti,39315000-3
,Pajisje dizinfektimi,39330000-4
,Pajisje të rrjetit te gazit,39340000-7
,Pajisje presioni gazi,39341000-4
,Pajisje punimi kanalizimesh,39350000-0
,Pajisje vulosje,39360000-3
,Instalime ujit,39370000-6
,Artikuj tekstile,39500000-7
,Artikuj tekstile shtëpiake,39510000-0
,Batanije dhe rrugica udhëtimi,39511000-7
,Batanije,39511100-8
,Rrugica udhëtimi,39511200-9
,Shtresa shtrati,39512000-4
,Çarçafë,39512100-5
,Mbulesë jorgani,39512200-6
,Mbulesë dysheku,39512300-7
,Jorganë me pupla,39512400-8
,Këllëfë jastëku,39512500-9
,Këllëfë jastëku cilindrik,39512600-0
,Shtresa tavoline,39513000-1
,Mbulesa tavoline,39513100-2
,Peceta tavoline,39513200-3
,Shtresa tualeti dhe kuzhine,39514000-8
,Peshqirë,39514100-9
,Peshqirë çaji,39514200-0
,Peshqirë rul,39514300-1
,Shpërndarës automatik peshqirësh,39514400-2
,Peceta për fytyren,39514500-3
,"Perde, perde të trasha, velenca dhe grila prej tekstili",39515000-5
,Perde,39515100-6
,Perde tymi,39515110-9
,Perde të trasha,39515200-7
,Velenca,39515300-8
,Grila,39515400-9
,Grila të brëndshme,39515410-2
,Grila tekstile,39515420-5
,Grila veneciane,39515430-8
,Grila vertikale,39515440-1
,Artikuj mobilimi,39516000-2
,Orendi të buta,39516100-3
,Mbështetëse,39516110-6
,Jastëkë,39516120-9
,Shtresa spitali,39518000-6
,Perde teatri,39518100-7
,Çarçafë teatri,39518200-8
,Artikuj tekstilë të sajuar,39520000-3
,"Pëlhure e gomuar, vela për anije, perde kundra diellit, tenda dhe materiale
kampingu",39522000-7
,"Pëlhure e gomuar, tenda dhe perde kundra diellit",39522100-8
,Pëlhure e gomuar,39522110-1
,Tenda,39522120-4
,Perde kundra diellit,39522130-7
,Mbulesa kamuflimi,39522200-9
,Vela,39522400-1
,Tekstile kampingu,39522500-2
,Dyshekë pneumatike,39522510-5
,Shtretër kampingu,39522520-8
,Tenda,39522530-1
,Çanta për të fjetur,39522540-4
,Çanta për të fjetur të mbushura me pupla,39522541-1
,Parashuta,39523000-4
,Parashuta të komandueshme,39523100-5
,Parashuta,39523200-6
,Artikuj te ndryshëm tekstile,39525000-8
,Mbledhës pluhurash,39525100-9
,Elemente filtrues të pëlhurave,39525200-0
,Jelekë shpëtimi,39525300-1
,Batanije zjarri,39525400-2
,Rrjeta kundër mushkonjave,39525500-3
,Pëlhura për pastrim enësh,39525600-4
,Rripa sigurimi,39525700-5
,Pëlhura pastrimi,39525800-6
,Pëlhura lustrimi,39525810-9
,"Qilima, tapete dhe rrugica",39530000-6
,Qilima,39531000-3
,Qilima me nyje,39531100-4
,Qilima me thurje,39531200-5
,Qilima me tufa,39531300-6
,Pllaka prej qilimi,39531310-9
,Qilima,39531400-7
,Tapete,39532000-0
,Rrugica,39533000-7
,Qlima industrialë,39534000-4
,"Kordonë të ndryshëm, litar, spango dhe tyl",39540000-9
,"Kordonë, litar, spango dhe tyl",39541000-6
,"Spango, kordonë dhe litar",39541100-7
,Litar,39541110-0
,Kordonë,39541120-3
,Tela,39541130-6
,Spango,39541140-9
,Rjeta tekstili,39541200-8
,Rrjeta me nyje,39541210-1
,Slings,39541220-4
,Copa,39542000-3
,Artikuj jo të endur,39550000-2
,Artikuj tekstili të ndryshëm,39560000-5
,"Tyl, dantella, pëlhura të ngushta të endura, stoli dhe qëndisje",39561000-2
,Pëlhura të ngushta të endura; stoli,39561100-3
,Fjongo,39561110-6
,Shirita tekstili,39561120-9
,Etiketa tekstili  dhe badges,39561130-2
,Etiketa tekstili,39561131-9
,Badges tekstili,39561132-6
,Shenjë,39561133-3
,Stoli zbukuruese,39561140-5
,Gërsheta,39561141-2
,Spaleta,39561142-9
,Pëlhura net,39561200-4
,Shajak,39562000-9
,"Vatë tekstile, fije, pëlhura dhe artikuj për përdorime teknike",39563000-6
,Mbushjet tekstile,39563100-7
,Fije të metalizuara,39563200-8
,Pelhura të endura prej fijeve metalike,39563300-9
,"Pëlhura tekstile të ngopura, të veshura apo të mbuluara",39563400-0
,Artikuj tekstile për përdorime teknike,39563500-1
,Tekstile mbështjellëse tubash,39563510-4
,Shirita transportues prej tekstili,39563520-7
,Kanalizim ventilimi,39563530-0
,Produkte tekstile të mbushur me tegela,39563600-2
,Pajisje të brendshme,39700000-9
,Pajisje elektrike të brendshme,39710000-2
,Pajisje elektrike të brendshme për përdorim me ushqimin,39711000-9
,Frigorifera dhe ngrirës,39711100-0
,Frigorifer-ngrirës,39711110-3
,Ngrirës,39711120-6
,Ngrirës në forme kutie,39711121-3
,Ngrirës shtëpiakë,39711122-0
,Ngrirës të lartë dhe të drejtë,39711123-7
,Ngrirës industrialë,39711124-4
,Frigoriferë,39711130-9
,Përpunues ushqimi,39711200-1
,Blendera ushqimi,39711210-4
,Miksera ushqimi,39711211-1
,Pajisje elektrotermike,39711300-2
,Bërës kafeje elektrikë,39711310-5
,Bërës çaji elektrikë,39711320-8
,Tostera elektrikë,39711330-1
,Ngrohes plintash,39711340-4
,Bërës waffle,39711350-7
,Furra,39711360-0
,Furra elektrike,39711361-7
,Furra me mikrovalë,39711362-4
,"Pjekëse, pianura, plinta dhe pllaka gazi",39711400-3
,Pjekëse,39711410-6
,Pianura,39711420-9
,Plinta,39711430-2
,Pllaka gazi,39711440-5
,Hapëse kanaçesh,39711500-4
,Pajisje elektrike të brendshme për përdorim me trupin e njeriut,39712000-6
,Makinë qethëse flokësh,39712100-7
,Pajisje për rregullim flokësh,39712200-8
,Tharëse flokësh,39712210-1
,Aparat për tharje duarsh,39712300-9
,Pajisje elektrike për pastrim të brendshëm; hekur rrobash,39713000-3
,Lavastovilje,39713100-4
,Lavatriçe dhe tharëse rrobash,39713200-5
,Larëse / tharëse,39713210-8
,Njësi tharëse dhe shtypëse,39713211-5
,Kompaktorë plehrash,39713300-6
,Makina për mirëmbajten e dyshemesë,39713400-7
,Makina për pastrimin e dyshemesë,39713410-0
,Lustrues dyshemeje,39713420-3
,Pastrues me vakum,39713430-6
,Aksesorë për pastrues me vakum,39713431-3
,Hekura elektrikë,39713500-8
,Hekura me avull,39713510-1
,Aspiratorë,39714000-0
,Ventilatorë,39714100-1
,Ventilatorë nxjerrës,39714110-4
,Ngrohës uji dhe ngrohës për ndërtesa; pajisje hidraulike,39715000-7
,Ngrohës uji elektrikë për ujë te rrjedhshëm ose jo,39715100-8
,Pajisje për ngrohje,39715200-9
,Pajisje për ngrohje qëndrore,39715210-2
,Rezistenca për ngrohje elektrike,39715220-5
,Ngrohëse elektrike vajore,39715230-8
,Aparate për ngrohje elektrike të hapsirave,39715240-1
,Pajisje hidraulike,39715300-0
,Pjesë të pajisjeve elektrike të brendshme,39716000-4
,Freskuese dhe pajisje me ajër të kondicionuar,39717000-1
,Freskuese,39717100-2
,Pajisje të ajrit të kondicionuar,39717200-3
,Pajisje shtëpiake jo elektrike,39720000-5
,Pajisje për gatim shtëpiak ose ngrohje,39721000-2
,Pajisje për gatim shtëpiak,39721100-3
,Frigoriferë me gaz,39721200-4
,Ngrohësa ajri jo elektrik ose shpërndarësa ajri të ngrohtë,39721300-5
,Ngrohësa ajri,39721310-8
,Tharëse ajri,39721320-1
,Tharëse me ajër të kompresuar,39721321-8
,Ngrohës jo elektrikë të ujit te rrjedhshëm ose jo,39721400-6
,Pajisje gazi,39721410-9
,Ngrohëse gazi,39721411-6
,"Pjesë të sobave, furrave, plintave dhe pajisjeve elektroshtëpiake",39722000-9
,Pjesë të sobave,39722100-0
,Pjesë të furrave,39722200-1
,Pjesë të plintave,39722300-2
,Produkte për pastrim dhe lustrim,39800000-0
,Preparate aromatizuese dhe dyll,39810000-3
,Preparate për të aromatizimin e dhomave,39811000-0
,Freskues ajri,39811100-1
,Mbajtëset e freskuesit të ajrit,39811110-4
,Dizinfektues ajri,39811200-2
,Deodorante,39811300-3
,Lustra dhe kremra,39812000-7
,Lustra për dysheme,39812100-8
,Lustra për këpucë,39812200-9
,Dyll lustrues,39812300-0
,Komponime për fshirje,39812400-1
,Ngjitësa,39812500-2
,Pasta pastrimi dhe pudra,39813000-4
,Agjentet organike me veprim sipërfaqsor,39820000-6
,Pastrues prej amoniaku,39821000-3
,Pastrues kaustikë,39822000-0
,Produkte pastrimi,39830000-9
,Preparate larëse,39831000-6
,Pastrues vajor,39831100-7
,Detergjentë,39831200-8
,Detergjentë për enë,39831210-1
,Agjentët eleminues yndyre,39831220-4
,Tretës yndyre,39831230-7
,Komponime pastrimi,39831240-0
,Solucione shpërlarës,39831250-3
,Pastrues dyshemeje,39831300-9
,Pastrues ekrani,39831400-0
,Pastrues automobilash,39831500-1
,Pastrues tualeti,39831600-2
,Shpërndarës automatik sapuni,39831700-3
,Produkte për lajre enësh,39832000-3
,Pluhur për lajre enësh,39832100-4
,Produktet anti-pluhur,39833000-0
,Produkte pastrimi për bizhuteri,39834000-7
"Pajisje laboratorike, optike dhe preçizioni (p.sh. syzet)","Pajisje laboratorike, optike dhe preçizioni (përjashtuar syzet)",38000000-5
,Instrumenta lundrimi dhe meteorologjike,38100000-6
,Instrumenta lundrimi,38110000-9
,Pajisje për gjetje drejtimi,38111000-6
,Kompasë,38111100-7
,Aksesorë për kompasë,38111110-0
,Sextants,38112000-3
,Sisteme gps ose të ngjashme,38112100-4
,Sistem sonars,38113000-0
,Aparat matës jehone,38114000-7
,Aparat radar,38115000-4
,Pajisje mbikqyrëse radar,38115100-5
,Instrumente meteorologjik,38120000-2
,Erëmatës,38121000-9
,Barometër,38122000-6
,Regjistrues të reshjeve ose avullimit,38123000-3
,Aparat radiosondë,38124000-0
,Regjistrues reshjeve,38125000-7
,Aparat vëzhgues i sipërfaqes,38126000-4
,Aparat vëzhgues i reshjeve ose avullimit në sipërfaqe,38126100-5
,Aparat vëzhgues i rrezatimimit diellor në sipërfaqe,38126200-6
,Aparat vëzhgues i temperaturës ose lagështirës në sipërfaqe,38126300-7
,Aparat vëzhgues i erës në sipërfaqe,38126400-8
,Stacionet e motit,38127000-1
,Aksesorë për instrumente meteorologjike,38128000-8
,Instrumentet gjeologjike dhe gjeofizike,38200000-7
,Kompasë gjeologjikë,38210000-0
,Aparat për kërkime gjeologjike,38220000-3
,Sistemet e informacionit gjeografik (gis ose ekuivalent),38221000-0
,Instrumentet elektromagnetike gjeofizike,38230000-6
,Instrumente gjeofizike të gravitetit,38240000-9
,Instrumente gjeofizike me polarizim të induktuar,38250000-2
,Instrumentet gjeofizike magnetometer,38260000-5
,Instrumentet gjeofizike të rezistencës,38270000-8
,Gravimetrat,38280000-1
,"Instrumente dhe pajisje mbikqyrëse, hidrografike, oqeanografike dhe
hidrologjike",38290000-4
,Aparat telemetrik,38291000-1
,Instrumente hidrografike,38292000-8
,Pajisje sizmike,38293000-5
,Teodolite,38294000-2
,Pajisje topografie,38295000-9
,Instrumente mbikqyrëse,38296000-6
,Instrumenteve matëse,38300000-8
,Peshore preçizioni,38310000-1
,Peshore elektronike dhe aksesorë,38311000-8
,Peshore eletronike analitike,38311100-9
,Peshore elektronike teknike,38311200-0
,Pesha kalibrimi,38311210-3
,Tavolina hartimi,38320000-4
,Makineri hartimi,38321000-1
,Pantografe,38322000-8
,Rregulla rrëshqitje,38323000-5
,Instrumente dore për të matur gjatësi,38330000-7
,Katrorë,38331000-4
,Instrumentet për matjen e sasive,38340000-0
,Aparatet për matjen e rrezatimit,38341000-7
,Regjistrues elektron-rreze,38341100-8
,Dozimetra rrezatimi,38341200-9
,Instrumentet për matjen e madhesive elektrike,38341300-0
,Ampermetra,38341310-3
,Voltmetra,38341320-6
,Matësa geiger,38341400-1
,Pajisje monitoruese të ndotjes,38341500-2
,Monitorues rrezatimi,38341600-3
,Oshiloskopë,38342000-4
,Oshilografë,38342100-5
,Pajisje monitorim-gabimesh,38343000-1
,Pajisje monitorim-ndotje,38344000-8
,Instrumente për kontrollin e karakteristikave fizike,38400000-9
,Instrumente matëse,38410000-2
,Hidrometra,38411000-9
,Termometra,38412000-6
,Pirometrat,38413000-3
,Higrometra,38414000-0
,Psikrometrat,38415000-7
,Matës ph,38416000-4
,Termoçifte,38417000-1
,Kalorimetra,38418000-8
,"Instrumentet për matjen e rrjedhjes, nivelit dhe presionin e lëngjeve dhe
gazeve",38420000-5
,Pajisje matëse të rrjedhës,38421000-2
,Matës të ujit,38421100-3
,Matës të rrjedhës,38421110-6
,Pajisje matëse të nivelit,38422000-9
,Pajisje matëse të presionit,38423000-6
,Manometra,38423100-7
,Pajisje matje dhe kontrolli,38424000-3
,Pajisje të mekanikës fluide,38425000-0
,Manometra,38425100-1
,Viskozëmetra,38425200-2
,Tregues të thellësisë,38425300-3
,Aparatë të vlerësimit të strukturës,38425400-4
,Aparate të vlerësimit të forcës,38425500-5
,Piknometër,38425600-6
,Instrumente matëse të tensionit në sipërfaqe,38425700-7
,Matës densiteti,38425800-8
,Matës i ngarkesave elektrike,38426000-7
,Matës fluksi,38427000-4
,Rheometer,38428000-1
,Rotameter,38429000-8
,Aparate zbulimi dhe analize,38430000-8
,Aparate zbulimi,38431000-5
,Aparate zbulim gazi,38431100-6
,Aparate zbulim tyme,38431200-7
,Zbulues faji,38431300-8
,Aparate analizues,38432000-2
,Aparate analizues gazi,38432100-3
,Kromatografë,38432200-4
,Kromatografë gazi,38432210-7
,Aparat analizues tymi,38432300-5
,Spektrometra,38433000-9
,Mas-spektometra,38433100-0
,Pajisje te matjes së emetimit,38433200-1
,Spektromatës emisioni,38433210-4
,Analizues spektri,38433300-2
,Analizues,38434000-6
,Analizues zgjerimi,38434100-7
,Pajisje matëse tingujsh,38434200-8
,Sonometra,38434210-1
,Analizues të shpejtësisë zanore,38434220-4
,Pajisje zhurma-matëse,38434300-9
,Matës decibel,38434310-2
,Analizues dridhje,38434400-0
,Analizues biokimike,38434500-1
,Citometra,38434510-4
,Analizues gjaku,38434520-7
,Analizues qumështi,38434530-0
,Pajisje biomjekësore,38434540-3
,Numërues i qelizave të gjakut,38434550-6
,Analizues kimik,38434560-9
,Analizues hematologjik,38434570-2
,Analizues immunoassay,38434580-5
,Aparatet për zbulimin e lëngjeve,38435000-3
,Shakers dhe pajisje,38436000-0
,Shakers mekanikë,38436100-1
,Shporta erlenmeyer për shakers,38436110-4
,Morseta erlenmeyer për shakers,38436120-7
,Mbajtëse për gypa ndarës,38436130-0
,Platforma erlenmeyer për shakers,38436140-3
,Mbajtëse petri për shakers,38436150-6
,Mbajtëse tubi testi për shakers,38436160-9
,Përshtatës për shakers,38436170-2
,Avullues rrotullues,38436200-2
,Mburojë mbrojtëse për avullues rrotullues,38436210-5
,Sensor i temperaturës së vlimit për avullues rrotullues,38436220-8
,Rregullator presioni për avullues rrotullues,38436230-1
,Shakers inkubator,38436300-3
,Pllaka për ngrohje,38436310-6
,Pllaka ngrohje për balona,38436320-9
,Shakers magnetikë,38436400-4
,Rregullatorë termikë për shakers mekanikë me pllaka ngrohje,38436410-7
,Përzierës mekanikë,38436500-5
,Thika për përzierës mekanikë,38436510-8
,Homogjenizues zhytje,38436600-6
,Instrumente shpërndarës për homogjenizues zhytje,38436610-9
,Disintegratorë me ultratinguj,38436700-7
,Kontrollorë për disintegratorë me ultratinguj,38436710-0
,Konvertues për disintegratorë me ultratinguj,38436720-3
,Dhoma me rrjedhë të vazhdueshme për disintegratorë me ultratinguj,38436730-6
,Homogjenizues me thika rrotulluese,38436800-8
,Pipeta laboratorike dhe aksesorë,38437000-7
,Pipeta,38437100-8
,Maja pipetash,38437110-1
,Mbajtëse pipetash,38437120-4
,Aparate kontrolluese,38500000-0
,Mikroskopë,38510000-3
,Mikroskopë elektronikë,38511000-0
,Mikroskopë skanues elektronesh,38511100-1
,Mikroskopë transmetimi elektronesh,38511200-2
,Mikroskopë molekularë dhe jonian,38512000-7
,Mikroskopë jonian,38512100-8
,Mikroskopë molekularë,38512200-9
,Mikroskopë të përmbysur dhe metalurgjike,38513000-4
,Mikroskopë të përmbysur,38513100-5
,Mikroskopë metalurgjike,38513200-6
,"Mikroskopë ""fushë e zezë"" dhe skanues",38514000-1
,"Mikroskopë ""fushë e zezë""",38514100-2
,Mikroskopë skanues,38514200-3
,Mikroskopë fluoreshent dhe polarizues,38515000-8
,Mikroskopë polarizues,38515100-9
,Mikroskopë fluoreshent,38515200-0
,Mikroskopë drite monokular dhe/ose binokular,38516000-5
,Mikroskopë akustikë dhe projektimi,38517000-2
,Mikroskopë akustikë,38517100-3
,Mikroskopë projektimi,38517200-4
,"Mikroskopë me fushë të gjerë, stereo ose dritë diseksioni",38518000-9
,Mikroskopë me fushë të gjerë,38518100-0
,Mikroskopë stereo ose me dritë diseksioni,38518200-1
,Pjesë të ndryshme për mikroskopë,38519000-6
,Ndriçues për mikroskopë,38519100-7
,Objektivë për mikroskopë,38519200-8
,Foto ose video të bashkangjitura për mikroskopë,38519300-9
,Foto të bashkangjitura për mikroskopë,38519310-2
,Video të bashkangjitura për mikroskopë,38519320-5
,Faza të automatizuara për mikroskopë,38519400-0
,Llamba për mikroskopë,38519500-1
,"Pjesë sysh, kondesatorë, grumbullues, tuba, faza dhe mbulesa për
mikroskopë",38519600-2
,Pjesë sysh për miroskopë,38519610-5
,Kondesatorë për mikroskopë,38519620-8
,Grumbullues për mikroskopë,38519630-1
,Tuba për mikroskopë,38519640-4
,Faza për mikroskopë,38519650-7
,Mbulesa për mikroskopë,38519660-0
,Skanera,38520000-6
,Skanera presioni,38521000-3
,Skanera kromatografik,38522000-0
,Dozimetra me dhomë jonizimi,38527100-6
,Dozimetra,38527200-7
,Sisteme dozimetrie me standarte dytësore,38527300-8
,Dozimetra me hije,38527400-9
,Aparat shpërbërje,38530000-9
,Makina dhe aparate për testim dhe matje,38540000-2
,Testues saldimi,38541000-9
,Aparat testi servo-hidraulike,38542000-6
,Pajisje zbuluese gazi,38543000-3
,Aparat për zbulimin e drogës,38544000-0
,Komplete për testim gazi,38545000-7
,Eksploziv zbulimin e sistemit,38546000-4
,Detektorë bombe,38546100-5
,Sisteme dozimetrie,38547000-1
,Instrumente për automjetet,38548000-8
,Metra,38550000-5
,Metra të energjisë,38551000-2
,Metra elektronikë,38552000-9
,Metra magnetikë,38553000-6
,Metra të energjisë elektrike,38554000-3
,Numërues prodhimi,38560000-8
,Numërues revolucioni,38561000-5
,Tregues shpejtësise për automjete,38561100-6
,Takometra,38561110-9
,Taksimetra,38561120-2
,Stroboskopë,38562000-2
,Aparatë dhe instrumente rregullues dhe kontrollues,38570000-1
,Kufizues shpejtësie,38571000-8
,Pajisje jo-mjekësore bazuar në përdorimin e rrezatimit,38580000-4
,Pajisje skanuese bagazhesh,38581000-1
,X-ray pajisjet e inspektimit,38582000-8
,Instrumente optike,38600000-1
,Material polarizues,38620000-7
,Aparat me fibër optike,38621000-4
,Pasqyra,38622000-1
,Filtra optike,38623000-8
,Aparate optike,38624000-5
,Instrumente astronomike dhe optike,38630000-0
,Dylbi,38631000-7
,Syze nate,38632000-4
,Vëzhgues teleskopikë,38633000-1
,Mikroskopë optikë,38634000-8
,Teleskopë,38635000-5
,Instrumente të specializuara optike,38636000-2
,Lazer,38636100-3
,Lazer industrialë,38636110-6
,Pajisje të lëngshme kristali,38640000-3
,Periskopë,38641000-0
,Pajisje fotografike,38650000-6
,Kamera,38651000-3
,Lente për kamera,38651100-4
,Trup për kamera,38651200-5
,Kamera për përgatitjen e pllakave të printimit ose cilindrave,38651300-6
,Kamera për fotografi çasti,38651400-7
,Kamera kinematografike,38651500-8
,Kamera dixhitale,38651600-9
,Projektues kinematografike,38652000-0
,Projektorë,38652100-1
,Projektorë për sliders,38652110-4
,Projektorë për video,38652120-7
,Zmadhues,38652200-2
,Zvogëlues,38652300-3
,Aparate për laboratorë fotografikë,38653000-7
,Drita blici,38653100-8
,Llamba për blic fotografik,38653110-1
,Kuba për blic fotografik,38653111-8
,Zmadhues fotografikë,38653200-9
,Aparate dhe pajisje për zhvillimin e filmit,38653300-0
,Ekrane projektimi,38653400-1
,Pajisje për mikrofilm dhe mikrofishë,38654000-4
,Pajisje mikrofilm,38654100-5
,Lexues mikrofilm,38654110-8
,Pajisje mikrofishë,38654200-6
,Lexues mikrofishë,38654210-9
,Pajisje mikroformë,38654300-7
,Lexues mikroformë,38654310-0
,Regjistra kohe; matës parkimi,38700000-2
,Regjistra kohe,38710000-5
,Regjistrues kohe,38720000-8
,Matës parkimi,38730000-1
,Matës shenjash,38731000-8
,Matës kohe procesi,38740000-4
,Celësa kohorë,38750000-7
,Pajisje kontrolli për procese industriale dhe pajisje kontrolli për së largu,38800000-3
,Pajisje kontrolli për procese industriale,38810000-6
,Pajisje kontrolli për së largu,38820000-9
,Aparat radio telekomandë,38821000-6
,Pajisje kontrolli për së largu me sirenë,38822000-3
,Instrumente të ndryshme vlerësimi ose testimi,38900000-4
,Pajisje monitoruese të higjenës dhe pajisje testimi,38910000-7
,Komplete për swab test manual,38911000-4
,Komplete për swab test automatik,38912000-1
,Pajisje për fara dhe ushqim,38920000-0
,Analizues kokrre,38921000-7
,Analizues fare,38922000-4
,Analizues ushqimi,38923000-1
,Instrumenta matës lagështire,38930000-3
,Testues lagështire me temperaturë,38931000-0
,Matës lagështire,38932000-7
,Instrumentet e vlerësimit bërthamore,38940000-6
,Numërues alfa,38941000-7
,Numërues alfa beta,38942000-7
,Numërues beta,38943000-7
,Numërues gama beta,38944000-7
,Numërues gama,38945000-7
,Matësa kvp,38946000-7
,Mikroanalizues me rreze x,38947000-7
,Pajisje pcr,38950000-9
,Pajisje pcr në kohë reale,38951000-6
,Mbyllje për ndezjen me alkol,38960000-2
,"Simulator kërkimi, testimi dhe shkencor",38970000-5
"Pajisje mjekësore, farmaceutike dhe produkte të kujdesit personal","Pajisje mjekësore, farmaceutike dhe produkte te kujdesit personal",33000000-0
,Pajisje mjekësore,33100000-1
,"Pajisje imazherie për përdorim mjekësor, dentar dhe veterinar",33110000-4
,Pajisje me rreze x,33111000-1
,Tabela me rreze x,33111100-2
,Workstations me rreze x,33111200-3
,Pajisjeve të përpunimit me rreze x,33111300-4
,Pajisje fluoroskopie me rreze x,33111400-5
,Rreze x dentare,33111500-6
,Pajisje radiografie,33111600-7
,Njësi rezonance magnetike,33111610-0
,Kamera gama,33111620-3
,Termografë,33111640-9
,Pajisje mamografie,33111650-2
,Densitometër kockash,33111660-5
,Dhomë angiografie,33111700-8
,Furnizime angiografie,33111710-1
,Pajisje angiografie,33111720-4
,Pajisje dixhitale angiografie,33111721-1
,Furnizimet angioplastie,33111730-7
,Pajisje angioplastie,33111740-0
,Sisteme diagnostikuese me rreze-x,33111800-9
,"Pajisje eko, ultratinguj dhe të imazherisë doppler",33112000-8
,Detektorë zemre ultrasonikë,33112100-9
,Njësi ultrasonike,33112200-0
,Skaner me ultratinguj,33112300-1
,Colour-flow doppler,33112310-4
,Pajisje doppler,33112320-7
,Ekoencefalografë,33112330-0
,Ekokardiograf,33112340-3
,Rezonancë magnetike pajisje të imazhit,33113000-5
,Skanera rezonance magnetike,33113100-6
,Skanera rezonance magnetike bërthamore,33113110-9
,Pajisje spektroskopie,33114000-2
,Pajisje tomografie,33115000-9
,Ct skaner,33115100-0
,Skanera cat,33115200-1
,Sisteme regjistrimi dhe pajisje të eksplorimit,33120000-7
,Sistemi i regjistrimit ambulator afatgjatë,33121000-4
,Elektro-encefalografe,33121100-5
,Pajisje shintigrafie,33121200-6
,Elektromiografe,33121300-7
,Audiometër,33121400-8
,Elektrokardiogramë,33121500-9
,Pajisje oftalmologjie,33122000-1
,Pajisje kardiovaskulare,33123000-8
,Tensiometer,33123100-9
,Pajisje elektrokardiografie,33123200-0
,Pajisje monitorimi kardiak,33123210-3
,Pajisje kardio-angiografie,33123220-6
,Kardiografe,33123230-9
